sortKey,userId,nickname,visitedCount,xp,lastUpdate,lastUpdateISO,petName,petType,petEmoji,petAttack,petDefense,petTotalPower
user-017c9d15-2347-4470-9a98-8e139be7b919,017c9d15-2347-4470-9a98-8e139be7b919,用户269da854,1,0,1768574434421,2026-01-16T14:40:34.421Z,小龙,dragon,🐲,10,10,20
user-35c5e612-c9c8-4f1f-b70b-7fdf11bd0976,35c5e612-c9c8-4f1f-b70b-7fdf11bd0976,mm,0,0,1768288655581,2026-01-13T07:17:35.581Z,,,,,,
user-47fb90e8-dba2-4f75-ad82-86045281d172,47fb90e8-dba2-4f75-ad82-86045281d172,小淘,1,25,1766798432972,2025-12-27T01:20:32.972Z,小龙,dragon,🐲,10,15,25
user-aa8e2bde-c3ed-4dc6-84c9-025aad30007b,aa8e2bde-c3ed-4dc6-84c9-025aad30007b,用户c731a8,1,0,1769150956137,2026-01-23T06:49:16.137Z,小龙,dragon,🐲,10,10,20
user-f9827eed-a619-4531-b36a-61c05a0b3a71,f9827eed-a619-4531-b36a-61c05a0b3a71,谢谢,1,0,1769131125266,2026-01-23T01:18:45.266Z,小熊猫,panda,🐼,25,10,35
user-highscore-1769193213365,,高分玩家,15,,,,,,,,,
user-test-1769179104290,,测试用户,5,,,,,,,,,
user-user_mfm1pllapx23v2mu6qd,user_mfm1pllapx23v2mu6qd,咚咚,2,458,1766311163328,2025-12-21T09:59:23.328Z,小猫,cat,🐱,20,10,30
user-user_mfs4dh1n95441taucth,user_mfs4dh1n95441taucth,小淘气,3,,1762993092291,2025-11-13T00:18:12.291Z,,,,,,
user-user_mg0w5us9du0h4jh76s5,user_mg0w5us9du0h4jh76s5,咚咚咚,1,,1764489903076,2025-11-30T08:05:03.076Z,,,,,,
user-user_mgjhnyvxuuzpp6xp3ei,user_mgjhnyvxuuzpp6xp3ei,咚咚,1,5,1766447547672,2025-12-22T23:52:27.672Z,小狐狸,fox,🦊,90,85,175
user-user_mgkn8lxg3e7k9qpkssb,user_mgkn8lxg3e7k9qpkssb,用户b8903a3a,2,25,1767511595265,2026-01-04T07:26:35.265Z,,,,,,
user-user_mh770afn5m1y7lb9z1n,user_mh770afn5m1y7lb9z1n,小淘气1,2,275,1764677273558,2025-12-02T12:07:53.558Z,小龙,dragon,🐲,10,10,20
user-user_mhrugas327xjsur3p3a,user_mhrugas327xjsur3p3a,小淘气,1,,1762700654867,2025-11-09T15:04:14.867Z,,,,,,
user-user_mhwpouv2gqyfo2wuzbh,user_mhwpouv2gqyfo2wuzbh,小淘气,1,,1762994985091,2025-11-13T00:49:45.091Z,,,,,,
user-user_mih3xebuaiu49orkbjm,user_mih3xebuaiu49orkbjm,小淘气,1,,1764228244168,2025-11-27T07:24:04.168Z,,,,,,
user-user_milghqscqxxy625dqyf,user_milghqscqxxy625dqyf,小淘气1,1,,1764491399603,2025-11-30T08:29:59.603Z,,,,,,
user-user_mioiyni2jj9lsx7167,user_mioiyni2jj9lsx7167,小淘气,1,50,1764676876777,2025-12-02T12:01:16.777Z,小狐狸,fox,🦊,10,10,20
